label,s,c1,c2,N_eq,x,y,stable,which
9a,0.5535690813504279,0.5355432432352774,-0.8335384294717842,9,-1.0,0.0,primary,m1
9a,0.5535690813504279,0.5355432432352774,-0.8335384294717842,9,0.0,0.9,primary,m2
9a,0.5535690813504279,0.5355432432352774,-0.8335384294717842,9,0.5355432432352774,-0.8335384294717842,primary,m3
11,0.7857366839921652,0.4320963591601678,-0.6021142136497161,11,-2.210797622340672,0.26799114953067676,False,
11,0.7857366839921652,0.4320963591601678,-0.6021142136497161,11,-1.3035157392022712,1.6138103028197417,False,
11,0.7857366839921652,0.4320963591601678,-0.6021142136497161,11,-0.44437457595785734,2.1122050539312194,False,
11,0.7857366839921652,0.4320963591601678,-0.6021142136497161,11,-0.4389436035731206,0.376570753208405,False,
11,0.7857366839921652,0.4320963591601678,-0.6021142136497161,11,-0.34488200800696694,0.04814510919413651,False,
11,0.7857366839921652,0.4320963591601678,-0.6021142136497161,11,-0.30114323796523024,0.21754140041404396,False,
11,0.7857366839921652,0.4320963591601678,-0.6021142136497161,11,-0.1071626512077653,0.2530602018713634,False,
11,0.7857366839921652,0.4320963591601678,-0.6021142136497161,11,0.2049014846058385,-0.341477666734201,False,
11,0.7857366839921652,0.4320963591601678,-0.6021142136497161,11,0.2636718716437759,-1.7386670856839705,False,
11,0.7857366839921652,0.4320963591601678,-0.6021142136497161,11,0.7436275016584218,-1.6365211657139374,False,
11,0.7857366839921652,0.4320963591601678,-0.6021142136497161,11,1.6550853127982101,-0.19153308951666742,False,
11,0.7857366839921652,0.4320963591601678,-0.6021142136497161,11,0.0,-0.1,primary,m0
11,0.7857366839921652,0.4320963591601678,-0.6021142136497161,11,-1.0,0.0,primary,m1
11,0.7857366839921652,0.4320963591601678,-0.6021142136497161,11,0.0,0.9,primary,m2
11,0.7857366839921652,0.4320963591601678,-0.6021142136497161,11,0.4320963591601678,-0.6021142136497161,primary,m3
9b,0.8214472971941729,0.407617648841755,-0.570479422191042,9,-2.2678031124602764,0.31337426074842145,False,
9b,0.8214472971941729,0.407617648841755,-0.570479422191042,9,-1.3198977105670275,1.6949719816385669,False,
9b,0.8214472971941729,0.407617648841755,-0.570479422191042,9,-0.5243455980520173,2.1555977463642035,False,
9b,0.8214472971941729,0.407617648841755,-0.570479422191042,9,-0.4644940558750338,0.40662620463126525,False,
9b,0.8214472971941729,0.407617648841755,-0.570479422191042,9,-0.28928877662720864,0.0822119905325275,False,
9b,0.8214472971941729,0.407617648841755,-0.570479422191042,9,-0.2535163495017858,0.15208964885017123,False,
9b,0.8214472971941729,0.407617648841755,-0.570479422191042,9,-0.13767557211994427,0.20550619790826777,False,
9b,0.8214472971941729,0.407617648841755,-0.570479422191042,9,0.18503511550118798,-0.3167397264104906,False,
9b,0.8214472971941729,0.407617648841755,-0.570479422191042,9,1.6643882787253583,-0.3759525131463233,False,
9b,0.8214472971941729,0.407617648841755,-0.570479422191042,9,0.0,-0.1,primary,m0
9b,0.8214472971941729,0.407617648841755,-0.570479422191042,9,-1.0,0.0,primary,m1
9b,0.8214472971941729,0.407617648841755,-0.570479422191042,9,0.0,0.9,primary,m2
9b,0.8214472971941729,0.407617648841755,-0.570479422191042,9,0.407617648841755,-0.570479422191042,primary,m3
7b,0.8839407770923963,0.363678254145499,-0.5159893905679528,7,-2.3850146665345644,0.4164169557110074,False,
7b,0.8839407770923963,0.363678254145499,-0.5159893905679528,7,-1.3193217621040696,1.8893508054970771,False,
7b,0.8839407770923963,0.363678254145499,-0.5159893905679528,7,-0.7395931310389051,2.225531824211039,False,
7b,0.8839407770923963,0.363678254145499,-0.5159893905679528,7,-0.4850645570496921,0.43133491057090584,False,
7b,0.8839407770923963,0.363678254145499,-0.5159893905679528,7,-0.16631338790422764,0.0912971493874791,False,
7b,0.8839407770923963,0.363678254145499,-0.5159893905679528,7,0.1501731943872732,-0.27464385145736603,False,
7b,0.8839407770923963,0.363678254145499,-0.5159893905679528,7,1.606068976423848,-0.7945872800366767,False,
7b,0.8839407770923963,0.363678254145499,-0.5159893905679528,7,0.0,-0.1,primary,m0
7b,0.8839407770923963,0.363678254145499,-0.5159893905679528,7,-1.0,0.0,primary,m1
7b,0.8839407770923963,0.363678254145499,-0.5159893905679528,7,0.0,0.9,primary,m2
7b,0.8839407770923963,0.363678254145499,-0.5159893905679528,7,0.363678254145499,-0.5159893905679528,primary,m3
5,0.9732171069103656,0.2994099916672842,-0.4393777467909742,5,-2.5970422705399843,0.6471044298926533,False,
5,0.9732171069103656,0.2994099916672842,-0.4393777467909742,5,-0.4970698037812791,0.44635295394374486,False,
5,0.9732171069103656,0.2994099916672842,-0.4393777467909742,5,-0.07450205908421534,-0.018076619091320554,False,
5,0.9732171069103656,0.2994099916672842,-0.4393777467909742,5,0.0915874529507794,-0.20689441797771832,False,
5,0.9732171069103656,0.2994099916672842,-0.4393777467909742,5,1.4901399804865418,-1.2518464210138214,False,
5,0.9732171069103656,0.2994099916672842,-0.4393777467909742,5,0.0,-0.1,primary,m0
5,0.9732171069103656,0.2994099916672842,-0.4393777467909742,5,-1.0,0.0,primary,m1
5,0.9732171069103656,0.2994099916672842,-0.4393777467909742,5,0.0,0.9,primary,m2
5,0.9732171069103656,0.2994099916672842,-0.4393777467909742,5,0.2994099916672842,-0.4393777467909742,primary,m3
