component,s,branch_id,x,y,residual,det_hessian,jacobi,max_real_eigenvalue
Case1-arc,0.38255447506000717,3,-0.5016862851178794,0.8877703385894935,4.577566798522237e-16,-487.0628195236598,14.418908599472761,5.73636256454923
Case1-arc,0.38255447506000717,4,-0.4617712940625393,0.0559957664688968,2.9406505148178845e-16,-375.15133443013667,13.842658358592422,5.4977356636407295
Case1-arc,0.38255447506000717,6,-0.41062913906175014,0.3735994458326722,6.206335383118183e-16,61.648641346384906,13.481377715679182,2.631836263629599
Case1-arc,0.38255447506000717,7,-0.1233287180395688,0.37995730214833956,6.661338147750939e-16,-321.44971206879455,13.737100026774506,5.354255433172411
Case1-arc,0.38255447506000717,5,1.0596463328984715,-0.820984078734497,1.1102230246251565e-16,0.6262559410846789,6.610052360813352,0.3274912177130084
Case1-arc,0.3999433150641564,1,-1.6319608616573156,1.5701352437638885,2.220446049250313e-16,-3.625685772916182,11.379443865881967,1.3785981232791666
Case1-arc,0.3999433150641564,2,-0.9286799419922448,0.5048502019130431,1.5700924586837752e-16,-563.051020875189,15.16414319696931,5.947294665847107
Case1-arc,0.3999433150641564,3,-0.4996265666344841,0.8749341852326126,1.2947314098277875e-15,-533.6514194400808,15.034025206589192,5.892343553143437
Case1-arc,0.3999433150641564,4,-0.4737102786844976,0.05163050773824069,1.0688824964696156e-15,-454.0671361896095,14.64932271592161,5.742745202041807
Case1-arc,0.3999433150641564,6,-0.43425834541218705,0.39895821163382766,3.925231146709438e-16,63.79760601905191,14.187642120740083,2.672150542757835
Case1-arc,0.3999433150641564,7,-0.11638538421186453,0.3916261135017163,2.7755575615628914e-17,-398.3902125027304,14.532440947155111,5.613952090175278
Case1-arc,0.3999433150641564,5,1.0951661444985896,-0.835075844070312,2.220446049250313e-16,0.5999462277260792,6.893318451099901,0.31766066044334906
Case1-arc,0.41733215515215555,1,-1.6383373224475473,1.5626855158687631,0.0,-3.2067136875687003,11.55029691248782,1.3256186538793677
Case1-arc,0.41733215515215555,2,-0.915307638855613,0.5014068860217775,1.4043333874306805e-15,-617.5828944975485,15.820313925223111,6.110580220850024
Case1-arc,0.41733215515215555,3,-0.49720491088986435,0.8618053456730936,5.900916318210353e-16,-581.8589198977028,15.689928985664366,6.048075109343056
Case1-arc,0.41733215515215555,4,-0.48529032650772325,0.047565083749380246,4.888843483876897e-16,-547.1264993209082,15.509076234949369,5.995688181541602
Case1-arc,0.41733215515215555,6,-0.4570956001394544,0.42419059106545387,5.551115123125783e-16,68.29581790417825,14.928663846198562,2.730469129018356
Case1-arc,0.41733215515215555,7,-0.11003088427482428,0.4029380989849587,1.0000677077679748e-15,-488.84465525222816,15.379706812374746,5.8785847496545145
Case1-arc,0.41733215515215555,5,1.13202941182186,-0.8487085415538346,2.482534153247273e-16,0.5741042999531363,7.191466059780973,0.3073389710557475
Case1-arc,0.434720995355366,1,-1.646904442006953,1.5549730530136614,2.220446049250313e-16,-2.8170499032456338,11.738050807220123,1.2713650017768583
Case1-arc,0.434720995355366,2,-0.9016558866773575,0.4975968605195777,6.955527313080394e-16,-673.677389111713,16.52090337921004,6.272904720343638
Case1-arc,0.434720995355366,4,-0.49657227222508465,0.04376603082475035,4.1748851477261605e-16,-656.9942105765188,16.42603878907311,6.257503981283265
Case1-arc,0.434720995355366,3,-0.49442174949705725,0.8483098727032798,1.1551122306821434e-15,-630.3907076657781,16.39000613480758,6.2018793638440135
Case1-arc,0.434720995355366,6,-0.4771530974798644,0.44706982415221397,1.0547118733938987e-15,76.92301182656261,15.708684195564077,2.815093563389028
Case1-arc,0.434720995355366,7,-0.10416629700806905,0.4139711793212643,8.337074528450333e-16,-595.4114527345176,16.282746645167673,6.149764820349215
Case1-arc,0.434720995355366,5,1.170357104762766,-0.8617731450967191,2.482534153247273e-16,0.5487259874262285,7.505497272945192,0.2964771281969103
Case1-arc,0.4521098357195363,1,-1.6580032560703144,1.5467491632572905,2.220446049250313e-16,-2.456860106886215,11.94378303676834,1.2158486269503934
Case1-arc,0.4521098357195363,2,-0.8876363537927157,0.4934180710039969,1.2212453270876722e-15,-729.6567247362974,17.2697807162184,6.432384753180267
Case1-arc,0.4521098357195363,4,-0.5076103296352741,0.040203868212807345,1.1123893155135927e-15,-786.9057439616757,17.40480510391564,6.529191398266761
Case1-arc,0.4521098357195363,6,-0.493231627585352,0.46621450824989447,1.9899025015462835e-15,89.37103156413272,16.533480754392322,2.919971356856305
Case1-arc,0.4521098357195363,3,-0.49127783225882726,0.834349190441707,9.550499576785472e-16,-677.2274332940385,17.13811300245162,6.351444057061819
Case1-arc,0.4521098357195363,7,-0.09871512412827872,0.42479106761134583,4.0245584642661925e-16,-721.2240954550434,17.245837224586584,6.428956495074382
Case1-arc,0.4521098357195363,5,1.2102889303160265,-0.8741379642080174,2.482534153247273e-16,0.5238054006302333,7.836545020756905,0.2850135504125816
Case1-arc,0.4694986763127233,1,-1.6720489354346857,1.5376707747211757,2.220446049250313e-16,-2.1259821111235673,12.168702354627928,1.1590670721516165
Case1-arc,0.4694986763127233,2,-0.8731313764088683,0.4888675609689295,5.117875266520903e-16,-782.9371891709403,18.07142078471283,6.58642762515197
Case1-arc,0.4694986763127233,4,-0.5184546518615314,0.03685211166385359,1.0878804855433139e-15,-940.8210341335526,18.450575703906132,6.811847983894313
Case1-arc,0.4694986763127233,6,-0.5053454563153594,0.4816359790292496,8.95090418262362e-16,103.8868822522774,17.409744302985505,3.0333648933963326
Case1-arc,0.4694986763127233,3,-0.48777539843167267,0.8197874458470668,1.0007415106216803e-15,-719.3035968697637,17.938715839125173,6.493525384484115
Case1-arc,0.4694986763127233,7,-0.09361577022622022,0.4354562987725344,5.003707553108401e-16,-870.1016081418915,18.27379825885338,6.71758982201382
Case1-arc,0.4694986763127233,5,1.2519888382399949,-0.8856429887978884,0.0,0.49933427564037713,8.185913460223382,0.27286984554332994
Case1-arc,0.48688751723841156,1,-1.6895534818414268,1.5272650777815286,0.0,-1.8239313308222047,12.414197674705644,1.1009948227338922
Case1-arc,0.48688751723841156,2,-0.8579783900920497,0.4839422464902166,1.3877787807814457e-15,-829.636037796238,18.931101845271954,6.731397671226645
Case1-arc,0.48688751723841156,4,-0.5291535133931766,0.033686409662281265,6.175615574477433e-16,-1123.6369546520907,19.56934266751988,7.106721542049029
Case1-arc,0.48688751723841156,6,-0.5140486028401472,0.4940735003247192,9.155133597044475e-16,118.40132192990596,18.344719173125508,3.1463242535492544
Case1-arc,0.48688751723841156,3,-0.483920627002364,0.804429422572601,4.742874840267547e-16,-752.0314004878948,18.797095186047937,6.6234476288329045
Case1-arc,0.48688751723841156,7,-0.08881668109704098,0.4460218939154434,2.423651445728339e-16,-1046.754296844382,19.37215763468088,7.017156933323777
Case1-arc,0.48688751723841156,5,1.2956524209022082,-0.896092156731186,2.220446049250313e-16,0.47530123928680057,8.555134831048418,0.25994450329726865
Case1-arc,0.5042763586577794,1,-1.7111570305093515,1.5148783990151982,2.220446049250313e-16,-1.5499337485945546,12.681910010622412,1.041574110255295
Case1-arc,0.5042763586577794,2,-0.841942527727642,0.4786408240612064,1.4443570596498132e-15,-863.9964138908409,19.85519822074751,6.862054374148926
Case1-arc,0.5042763586577794,4,-0.5397553259825234,0.030683765542650114,1.777454255113597e-15,-1341.4877204363931,20.76815650729371,7.415279035055481
Case1-arc,0.5042763586577794,6,-0.519848495637494,0.5044253021591977,1.2412670766236366e-15,130.72627103472948,19.346325817012694,3.2529637066008106
Case1-arc,0.5042763586577794,3,-0.4797290767237858,0.7879789708761592,1.117140368961273e-15,-768.5716686081123,19.71965301416821,6.734197225243059
Case1-arc,0.5042763586577794,7,-0.08427297966429655,0.45654235482879196,1.7168680146955573e-15,-1257.0739322022405,20.547390451190637,7.3293097491995445
Case1-arc,0.5042763586577794,5,1.3415169781998,-0.9052425718614844,1.1102230246251565e-16,0.4516909871523951,8.946050214394145,0.24610323475633988
Case1-arc,0.5216652008287299,1,-1.7376708190721275,1.499600870692452,0.0,-1.3029977137097277,12.973838502860517,0.9807103094077064
Case1-arc,0.5216652008287299,2,-0.824664547712065,0.4729686138014245,6.753223014464259e-16,-877.5261507651514,20.851625338458103,6.970539020447829
Case1-arc,0.5216652008287299,4,-0.5503106694291856,0.0278218059328506,1.5776945231491023e-15,-1602.1804526423136,22.055514457435542,7.7393011347801455
Case1-arc,0.5216652008287299,6,-0.5229445185003306,0.5136489417176298,7.447602459741819e-16,138.23427567028756,20.423553220227195,3.3481085125663723
Case1-arc,0.5216652008287299,3,-0.4752389113706359,0.7699523159834799,5.551115123125783e-16,-758.6567042789193,20.71439123551298,6.814615378998916
