component,s,c1,c2,N_eq
Case1-arc,0.6433872661106116,-0.7731216913468719,0.7713772823417645,5
Case1-arc,0.6607762862543778,-0.7586894381816313,0.7575313184449772,5
Case1-arc,0.6781655438965968,-0.7439605555266855,0.7440012867110798,5
Case1-arc,0.6955554795312777,-0.7287823229530679,0.7309772077894388,5
Case1-arc,0.7129476499232992,-0.7128921940577215,0.7188313057448347,5
Case1-arc,0.730348026834871,-0.695850288274795,0.7083601663357757,5
Case1-arc,0.7477731482663338,-0.6771471593681628,0.7012651755161944,5
Case1-arc,0.7652157968131189,-0.6571987048128751,0.6998620916547154,5
Case1-arc,0.7826303171421585,-0.6376397596697598,0.7040284043852189,5
Case1-arc,0.8000256219638886,-0.6190364113793767,0.7113695863518562,5
Case1-arc,0.8174159783755492,-0.6010793046642725,0.7201754656783858,5
Case1-arc,0.8348051582853696,-0.5834516073670166,0.7296236115008032,5
Case1-arc,0.8521940353840631,-0.5659569209167702,0.7393156993876279,5
Case1-arc,0.8695828781433939,-0.5484807629084271,0.7490411257302666,5
Case1-arc,0.8869717463063032,-0.5309558147924878,0.7586783494094349,5
Case1-arc,0.9043606481265204,-0.5133418171400839,0.7681518368440758,5
Case1-arc,0.9217495796553156,-0.49561456253020736,0.7774116608113462,5
Case1-arc,0.9391385350090072,-0.47775974531904,0.7864230657862372,5
Case1-arc,0.9565275089345157,-0.459769401275333,0.7951607689568608,5
Case1-arc,0.9739164972615094,-0.441639768566624,0.8036056708319549,5
Case1-arc,0.9913054968024457,-0.4233699570133174,0.811742866084316,4
Case1-arc,1.0,-0.4141827744053656,0.8156922448639925,4
Case2-loop,0.0,0.009275481677442451,-1.095335685674362,7
Case2-loop,0.017855514841495588,0.029252787046840877,-1.0943831733199765,7
Case2-loop,0.03571103235805128,0.04920503615623932,-1.0930019541959028,7
Case2-loop,0.05356655288312335,0.06912281844781831,-1.0911903359255966,7
Case2-loop,0.07142207680675017,0.08899655689796435,-1.0889465592415162,7
Case2-loop,0.08927760458751952,0.10881648172199976,-1.0862687624468943,7
Case2-loop,0.10713313676814679,0.12857259778157976,-1.0831549390385289,7
Case2-loop,0.12498867399489161,0.14825464408082642,-1.0796028869310446,7
Case2-loop,0.1428442170428657,0.16785204325081743,-1.0756101473011073,7
Case2-loop,0.16069976684905074,0.1873538382609706,-1.0711739305174959,7
