component,s,c1,c2,rho0,rho1,rho2,psi_residual
Case1-arc,0.7913291321780356,-0.6282330228426508,0.7074363995680152,39.40327728237098,2.8331289206048114,1.2954047794371082,-3.469446951953614e-17
Case1-arc,0.8000256219638886,-0.6190364113793767,0.7113695863518562,44.44549250741988,2.962043282693546,1.223694921622092,-5.463338115241356e-14
Case1-arc,0.8087209967136763,-0.61,0.7156550543705765,49.65377298857251,3.0981086093005468,1.1533271072688343,-8.847089727481716e-17
Case1-arc,0.8174159783755492,-0.6010793046642725,0.7201754656783858,55.02181524892128,3.2412163489367027,1.0845940093487867,-1.5702716904542058e-14
Case1-arc,0.8261106419722676,-0.5922389947510306,0.7248503482895444,60.55255946358729,3.391464379133571,1.0176249254066687,-2.499736528882579e-15
Case1-arc,0.8348051582853696,-0.5834516073670166,0.7296236115008032,66.25480000400475,3.5490914748805733,0.9524599930567569,-3.1138286393783687e-16
Case1-arc,0.8434996094773661,-0.5746962226382089,0.7344551701481258,72.14107774041632,3.714433283208144,0.8890932267929991,-7.892991815694472e-17
Case1-arc,0.8521940353840631,-0.5659569209167702,0.7393156993876279,78.22668325775673,3.8879017412567487,0.8274940114842231,-1.734723475976807e-17
Case1-arc,0.86088845525243,-0.5572215447635089,0.7441832658870298,84.52916529845827,4.069975101139267,0.7676187373088574,-3.2699537522162814e-16
Case1-arc,0.8695828781433939,-0.5484807629084271,0.7490411257302666,91.06811994795521,4.261194073290729,0.7094172617570302,1.0928757898653885e-16
Case1-arc,0.8782773080228913,-0.539727377614302,0.7538762551335437,97.86514494971267,4.462161726588411,0.6528365798344273,1.0842021724855044e-17
Case1-arc,0.8869717463063032,-0.5309558147924878,0.7586783494094349,104.94389897146036,4.673545898805436,0.59782294353178,-3.209238430557093e-17
Case1-arc,0.8956661931520639,-0.5221617476585735,0.7634391270747165,112.3302345079346,4.896083467615968,0.5443230960830374,-4.119968255444917e-16
Case1-arc,0.9043606481265204,-0.5133418171400839,0.7681518368440758,120.05238867424474,5.130586163431789,0.4922849882788061,1.7954387976359953e-16
Case1-arc,0.9130551105467307,-0.5044934224136114,0.7728109021755682,128.1412249602874,5.377947799125689,0.44165818515384403,-1.0169816377914032e-16
Case1-arc,0.9217495796553156,-0.49561456253020736,0.7774116608113462,136.63052435536528,5.639152913972204,0.3923940842858053,-6.058521739848999e-16
Case1-arc,0.9304440547070408,-0.48670371553230124,0.781950171067602,145.55732780227723,5.9152869146711575,0.3444460179390075,-1.829049064983046e-16
Case1-arc,0.9391385350090072,-0.47775974531904,0.7864230657862372,154.96233460235177,6.207547864123293,0.2977692830166545,-7.090682208055199e-17
Case1-arc,0.9478330199361764,-0.46878182923486794,0.7908274408293928,164.8903636754669,6.5172601297915325,0.2523211260926861,-3.060702732926579e-16
Case1-arc,0.9565275089345157,-0.459769401275333,0.7951607689568608,175.39088679467275,6.845890165165472,0.20806070071452717,-2.0274580625478933e-16
Case1-arc,0.9652220015177411,-0.4507221071687109,0.7994208325947817,186.51864527365268,7.195064765112433,0.16494900797036088,-1.1183545409187978e-16
Case1-arc,0.9739164972615094,-0.441639768566624,0.8036056708319549,198.33436426099743,7.5665922132481525,0.12294882742225609,-3.5152544937411268e-16
Case1-arc,0.9826109957966809,-0.4325223542806814,0.807713537249537,210.90558194503524,7.962486831135943,0.08202464303214935,-2.2693706722837215e-16
Case1-arc,0.9913054968024457,-0.4233699570133174,0.811742866084316,224.30761477083905,8.384997550018598,0.04214256710485993,-3.592097322716037e-17
Case1-arc,1.0,-0.4141827744053656,0.8156922448639925,238.6246844180804,8.836641261653636,0.00327026422052289,-6.265146957002213e-16
Case2-loop,0.0,0.009275481677442451,-1.095335685674362,23.908913595266483,0.01433830084371095,1.2002649472902664,1.4918621893400541e-15
Case2-loop,0.008927757105294459,0.01926668412650557,-1.0949129138305589,23.470312547919303,0.029809409152405007,1.2065855784073303,5.134781488891349e-16
Case2-loop,0.017855514841495588,0.029252787046840877,-1.0943831733199765,23.036964698072662,0.04530055951702107,1.2126332382994556,3.309852392163748e-15
Case2-loop,0.02678327324576022,0.039232628163369615,-1.0937462566854472,22.608732286407523,0.06081052351604657,1.2184113723191998,8.326672684688674e-16
Case2-loop,0.03571103235805128,0.04920503615623932,-1.0930019541959028,22.1854809375299,0.0763381064154973,1.2239233907486249,1.6792123247455493e-15
Case2-loop,0.04463879222160827,0.05916883003592141,-1.0921500529541022,21.767079536693956,0.09188214996536168,1.22917267438917,3.913536161803677e-15
Case2-loop,0.05356655288312335,0.06912281844781831,-1.0911903359255966,21.353400111054597,0.10744153545390388,1.2341625802945992,5.564992910933597e-15
Case2-loop,0.0624943143931992,0.0790657988990432,-1.0901225808808463,20.94431771522096,0.12301518704888352,1.2388964476815698,5.9396931817445875e-15
Case2-loop,0.07142207680675017,0.08899655689796435,-1.0889465592415162,20.539710320940642,0.13860207545670403,1.243377604055311,-1.7763568394002505e-15
Case2-loop,0.08034984018323782,0.09891386499615709,-1.0876620348208805,20.139458710744652,0.15420122193495078,1.2476093715922052,2.220446049250313e-15
Case2-loop,0.08927760458751952,0.10881648172199976,-1.0862687624468943,19.743446375358186,0.16981170269997617,1.251595073826255,3.899658373995862e-15
Case2-loop,0.09820537009015054,0.11870315039138682,-1.0847664864553377,19.35155941478422,0.18543265377313195,1.2553380426910177,3.941291737419306e-15
Case2-loop,0.10713313676814679,0.12857259778157976,-1.0831549390385289,18.963686442883535,0.20106327631917081,1.2588416259761803,4.524158825347513e-15
Case2-loop,0.11606090470566456,0.1384235326503304,-1.081433838433469,18.579718495361575,0.21670284253469965,1.2621091952647292,2.3869795029440866e-15
Case2-loop,0.12498867399489161,0.14825464408082642,-1.0796028869310446,18.19954894105327,0.23235070215420137,1.2651441544258866,5.551115123125783e-17
Case2-loop,0.133916444736918,0.158064599629493,-1.077661768685574,17.823073396439604,0.24800628964968557,1.2679499487491224,-1.6653345369377348e-16
Case2-loop,0.1428442170428657,0.16785204325081743,-1.0756101473011073,17.450189643331367,0.26366913221189625,1.2705300748167951,5.662137425588298e-15
Case2-loop,0.1517719910352155,0.17761559296896273,-1.0734476631677294,17.080797549696552,0.279338858613183,1.2728880912270677,5.551115123125783e-15
Case2-loop,0.16069976684905074,0.1873538382609706,-1.0711739305174959,16.71479899364805,0.2950152090666433,1.2750276302953605,2.7200464103316335e-15
Case2-loop,0.16962754463389318,0.19706533711181867,-1.0687885341651098,16.352097790605985,0.31069804621521513,1.276952410882582,4.524158825347513e-15
Case2-loop,0.17855532455555595,0.20674861269363673,-1.066291025893813,15.992599623745782,0.326387367402601,1.2786662525212316,3.0808688933348094e-15
Case2-loop,0.18748310679837352,0.21640214961458562,-1.0636809204410116,15.636211977858698,0.3420833184034679,1.2801730910383,-5.828670879282072e-16
Case2-loop,0.19641089156774125,0.22602438967313154,-1.0609576910316054,15.282844076835794,0.3577862088178174,1.2814769959064964,4.135580766728708e-15
Case2-loop,0.20533867909333056,0.2356137270428085,-1.0581207643991348,14.93240682505175,0.373496529368454,1.282582189594393,7.771561172376096e-16
Case2-loop,0.21426646963245172,0.2451685027983051,-1.0551695152261367,14.584812753062627,0.3892149713782827,1.2834930692324773,4.6351811278100286e-15
