component,s,branch_id,reliable,x,y,c1,c2,r,jacobi_CJ,max_real,n_centre_pairs,omega1,omega2,ratio
Case1-arc,0.1564995575988184,3,True,-0.494250478345948,1.0434700256604472,-1.15552647254497,1.1804197773303071,1.1546052268186788,9.069108924902503,3.9703089367519784,1,2.850989509702185,,
Case1-arc,0.1564995575988184,4,True,-0.2324974289929773,0.1114637258018117,-1.15552647254497,1.1804197773303071,0.2578356388437525,6.789493261985273,3.4068194200692727,1,1.8509647687035247,,
Case1-arc,0.1564995575988184,5,True,0.6817948619085588,-0.6215728697581172,-1.15552647254497,1.1804197773303071,0.9226034175875635,3.9517727936477964,0.42073619762017256,0,,,
Case1-arc,0.1738883973425115,1,True,-1.66219022484322,1.6815475712615735,-1.1420244455118371,1.1656652774739855,2.3644192898003626,10.32599209207526,1.9489089270917983,1,1.7222282521829557,,
Case1-arc,0.1738883973425115,2,True,-1.096403202980915,0.514747069011942,-1.1420244455118371,1.1656652774739855,1.2112243923250532,9.49559867070541,4.058177097521529,1,2.90463396410277,,
Case1-arc,0.1738883973425115,3,True,-0.4972190284954544,1.0317979674645636,-1.1420244455118371,1.1656652774739855,1.1453531367931762,9.351517972846608,4.083660323326913,1,2.920277292719695,,
Case1-arc,0.1738883973425115,4,True,-0.2511015191919807,0.1195509902182296,-1.1420244455118371,1.1656652774739855,0.27810863381542095,7.172674033341452,3.361345816224837,1,1.7175821380148044,,
Case1-arc,0.1738883973425115,5,True,0.7071387376196199,-0.6373316945458085,-1.1420244455118371,1.1656652774739855,0.9519647488824895,4.1036889805380845,0.4157127532118341,0,,,
Case1-arc,0.1912772370899549,1,True,-1.655379872388215,1.671481154089021,-1.1285193967087346,1.1509135434456657,2.3524735429719055,10.347296681216548,1.912449751246965,1,1.6999304824702404,,
Case1-arc,0.1912772370899549,2,True,-1.0832875399930375,0.5165002146830674,-1.1285193967087346,1.1509135434456657,1.200118480014295,9.792446344732348,4.182155217394869,1,2.9823229130558646,,
Case1-arc,0.1912772370899549,3,True,-0.4997604220045121,1.020101483138398,-1.1285193967087346,1.1509135434456657,1.1359434472293448,9.650413207242517,4.200855131542254,1,2.9913590589606005,,
Case1-arc,0.1912772370899549,4,True,-0.2719279704094643,0.1235211602823085,-1.1285193967087346,1.1509135434456657,0.2986675377882542,7.57380149965986,3.352861173647144,1,1.627926913598172,,
Case1-arc,0.1912772370899549,5,True,0.7328584040825995,-0.6530341712220956,-1.1285193967087346,1.1509135434456657,0.9815982218903129,4.26259163087778,0.4102901791745467,0,,,
Case1-arc,0.2086660768419384,1,True,-1.6490450114041912,1.6616509858404556,-1.1150110686905037,1.1361648121723689,2.3410325602993236,10.376502546464765,1.8748744570779252,1,1.6769933484480748,,
Case1-arc,0.2086660768419384,2,True,-1.0702606010222444,0.517787153733902,-1.1150110686905037,1.1361648121723689,1.1889328369055803,10.107053300798961,4.309785928149134,1,3.0615654693813665,,
Case1-arc,0.2086660768419384,3,True,-0.5018837845492764,1.0083796252213015,-1.1150110686905037,1.1361648121723689,1.1263732959170139,9.966919488368733,4.321938505890353,1,3.0641823112810616,,
Case1-arc,0.2086660768419384,4,True,-0.2949183517082044,0.1218753969535757,-1.1150110686905037,1.1361648121723689,0.3191088318377851,7.994903114199325,3.41213269509921,1,1.6431746728888514,,
Case1-arc,0.2086660768419384,5,True,0.7590244847467739,-0.6686932704248422,-1.1150110686905037,1.1361648121723689,1.0115675253568477,4.428905086951359,0.40449772573396486,0,,,
Case1-arc,0.2260549165994488,1,True,-1.6432370696486762,1.6520690001910077,-1.1014991740844704,1.1214193483214103,2.3301416369954175,10.414092313304911,1.8361401654023097,1,1.6533998553947646,,
Case1-arc,0.2260549165994488,2,True,-1.0573136223748365,0.5186248235592512,-1.1014991740844704,1.1214193483214103,1.1776603091177282,10.44062997593106,4.441126640312707,1,3.1423184744659207,,
Case1-arc,0.2260549165994488,3,True,-0.5035977334310052,0.9966291010009528,-1.1014991740844704,1.1214193483214103,1.1166379189687288,10.302245244354879,4.446943613546084,1,3.1386737354428313,,
Case1-arc,0.2260549165994488,4,True,-0.3181938472915103,0.115559028255281,-1.1014991740844704,1.1214193483214103,0.338528009868427,8.438358298777484,3.547308218979807,1,1.7779428087882936,,
Case1-arc,0.2260549165994488,5,True,0.785703656936879,-0.6843149104831544,-1.1014991740844704,1.1214193483214103,1.0419295241202988,4.60307345474064,0.3983545207252359,0,,,
Case1-arc,0.2434437563637345,1,True,-1.6380141486726498,1.642746008837916,-1.087983390903935,1.106677448679677,2.319850167748919,10.460577637488665,1.7962065454708007,1,1.629136416593853,,
Case1-arc,0.2434437563637345,2,True,-1.0444357502594914,0.5190284177281066,-1.087983390903935,1.106677448679677,1.1662917880313866,10.79447797661154,4.576219758726606,1,3.22451454202745,,
Case1-arc,0.2434437563637345,3,True,-0.5049102886711542,0.9848443003165738,-1.087983390903935,1.106677448679677,1.1067306336557374,10.657689568190417,4.575885033227383,1,3.214731251048589,,
Case1-arc,0.2434437563637345,4,True,-0.3398611640426031,0.1073254330882208,-1.087983390903935,1.106677448679677,0.356404769064567,8.90667702515528,3.730085294421128,1,1.9741231106027939,,
Case1-arc,0.2434437563637345,5,True,0.8129602287846837,-0.6998985344464255,-1.087983390903935,1.106677448679677,1.0727358911241385,4.785562615688941,0.3918720056342401,0,,,
Case1-arc,0.260832596136378,1,True,-1.6334420409465205,1.6336909525049523,-1.0744633569288524,1.0919394474125452,2.310211901412525,10.516500176499896,1.7550367130314797,1,1.6041936967800172,,
Case1-arc,0.260832596136378,2,True,-1.031614084753426,0.5190114504923624,-1.0744633569288524,1.0919394474125452,1.154816221571136,11.169998137004324,4.715084973728331,1,3.3080529239454886,,
Case1-arc,0.260832596136378,3,True,-0.5058288065357327,0.9730172562146036,-1.0744633569288524,1.0919394474125452,1.0966427688234484,11.034650154980495,4.708750853968495,1,3.292214359048348,,
Case1-arc,0.260832596136378,4,True,-0.3594612274058356,0.0989670922509878,-1.0744633569288524,1.0919394474125452,0.37283623664650056,9.402280682706124,3.9333698702561044,1,2.1836102752314734,,
