arc,s,R_p,M,r_max_bound,max_detected_r,detected_within_bound,bound_in_box
Case1-arc,0.7652157968131189,1.0,30.662931131128275,3.8296241680861263,3.227664479460361,True,True
Case1-arc,0.7826303171421585,1.0,39.629615584604,4.106513796287144,3.4886292669462957,True,True
Case1-arc,0.8000256219638886,1.0,49.63123071173551,4.37003865885985,3.743419662772755,True,True
Case1-arc,0.8174159783755492,1.0,60.347625607206766,4.615813172465818,3.985399088680888,True,True
Case1-arc,0.8348051582853696,1.0,71.75635147194208,4.84745330125546,4.216302089269941,True,True
Case1-arc,0.8521940353840631,1.0,83.94207901049771,5.069274294737556,4.438926356750315,True,True
Case1-arc,0.8695828781433939,1.0,97.03873128300296,5.284994613941787,4.656034949842307,True,True
Case1-arc,0.8869717463063032,1.0,111.21526781379757,5.497708841712307,4.870283078333654,True,True
Case1-arc,0.9043606481265204,1.0,126.67525982595534,5.71005329288417,5.084136908698212,True,True
Case1-arc,0.9217495796553156,1.0,143.6620713536233,5.924364377501783,5.299874624244418,True,True
Case1-arc,0.9391385350090072,1.0,162.46765174949172,6.14280524768734,5.51964514403084,True,True
Case1-arc,0.9565275089345155,1.0,183.44483766055276,6.367467112393655,5.74554236704312,True,True
Case1-arc,0.9739164972615094,1.0,207.02390530166784,6.600454992559357,5.979680078121781,True,True
Case1-arc,0.9913054968024456,1.0,233.7347548879625,6.843966422386764,6.2242662404612865,True,True
Case1-arc,1.0,1.0,248.46459594395455,6.970399788339755,6.351212063238421,True,True
Case2-loop,0.0,1.0953749581180288,26.12351684340046,3.7387222238389453,3.061831080858141,True,True
Case2-loop,0.0178555148414955,1.0947740660044472,25.29489849588914,3.706975273662005,3.030978572227148,True,True
Case2-loop,0.0357110323580512,1.0941089559359247,24.48574243469402,3.6752564154049017,3.0002230229563303,True,True
Case2-loop,0.0535665528831233,1.0933774797605749,23.6950042268031,3.6435346314077472,2.9695377060180195,True,True
Case2-loop,0.0714220768067501,1.0925772265719387,22.921690000452656,3.6117780526438175,2.9388958238689815,True,True
Case2-loop,0.0892776045875195,1.0917054781223101,22.16485315188442,3.579953792796933,2.908270454044236,True,True
Case2-loop,0.1071331367681467,1.090759155296834,21.423591345178888,3.5480277654954615,2.8776344944381536,True,True
Case2-loop,0.1249886739948916,1.0897347534888377,20.697043797633356,3.5159644816576447,2.8469606077944016,True,True
Case2-loop,0.1428442170428657,1.0886282641014717,19.984388850360055,3.4837268234105934,2.81622116479049,True,True
Case2-loop,0.1606997668490507,1.087435078582358,19.284841833010052,3.451275790483367,2.7853881849465716,True,True
Case2-loop,0.1785553245555559,1.0861498702998695,18.597653243669612,3.4185702143431023,2.7544332744173685,True,True
Case2-loop,0.1964108915677412,1.0847664480828245,17.922107281560102,3.3855664346638754,2.723327559563154,True,True
Case2-loop,0.2142664696324517,1.0832775732133124,17.257520793673404,3.3522179320512757,2.692041615088768,True,True
Case2-loop,0.2321220609453175,1.0816747288572688,16.60324273040284,3.318474910400682,2.6605453855568455,True,True
Case2-loop,0.2499776683007215,1.0799478270061964,15.958654255526897,3.28428382208191,2.6288080993565845,True,True
Case2-loop,0.2678332953040927,1.0780848324936139,15.323169732004894,3.2495868297689956,2.596798174966302,True,True
Case2-loop,0.2856889466787565,1.0760712758079263,14.69623892231335,3.214321201025145,2.564483120972325,True,True
Case2-loop,0.3035446287191614,1.0738896151524158,14.077350926517376,3.178418637349512,2.531829434516057,True,True
Case2-loop,0.3214003499730203,1.0715183918604472,13.466040677219077,3.141804551414344,2.4988025089819033,True,True
Case2-loop,0.3392561222965081,1.068931099415884,12.861899294539612,3.104397330675406,2.4653665734111176,True,True
Case2-loop,0.3571119625253942,1.0660946514043574,12.264590413022988,3.066107674109519,2.431484708586801,True,True
Case2-loop,0.3749678951957793,1.0629672828390184,11.673875970330363,3.0268381846644217,2.3971190286320527,True,True
Case2-loop,0.3928239570976737,1.0594956466330745,11.089657341690316,2.9864835892918413,2.36223120445055,True,True
Case2-loop,0.4106802051017491,1.0556107685556009,10.512041930235128,2.944932334834686,2.3267836827835273,True,True
Case2-loop,0.4285367299229881,1.0512224083963952,9.941452848222594,2.902071061440942,2.2907423193350387,True,True
