family_id,label,mode,amp,converged,closure,geom_amp,reject
2,case1_stable,2,0.012106890281250005,True,1.6321348218723964e-13,0.0120390144477369,
2,case1_stable,2,0.01634430187968751,True,5.496793564090513e-13,0.01625250196350105,
2,case1_stable,2,0.022064807537578137,True,4.104854903294821e-12,0.021940582278212082,
2,case1_stable,2,0.029787490175730486,True,3.5962689073963e-11,0.029619272365462804,
2,case1_stable,2,0.04021311173723616,True,3.59381797818153e-14,0.039985142086830475,
2,case1_stable,2,0.054287700845268815,True,2.8872818088741505e-14,0.05397849607527867,
2,case1_stable,2,0.0732883961411129,True,6.852767993002036e-14,0.0728687059231053,
2,case1_stable,2,0.09893933479050243,True,5.03607081696127e-14,0.09836954667850364,
2,case1_stable,2,0.1335681019671783,True,3.1145213957509105e-12,0.13279532614326672,
2,case1_stable,2,0.18031693765569073,True,8.097684509106878e-11,0.17927288554629517,
2,case1_stable,2,0.2434278658351825,True,3.227052072941511e-14,0.24203993483976907,
2,case1_stable,2,0.3286276188774964,True,1.3327221499697578e-13,0.3268289373112142,
2,case1_stable,2,0.4436472854846202,True,3.7841779342400285e-12,0.4414639158896953,
2,case1_stable,2,0.5989238354042373,True,6.433982238650981e-14,0.5966811075684423,
2,case1_stable,2,0.8085471777957205,False,9.914873314868906,10.80234263315252,
3,case2_stable,1,0.002,True,2.3533590945499054e-14,0.001839290326453346,
3,case2_stable,1,0.0027,True,3.146213978917584e-14,0.0024832440057055627,
3,case2_stable,1,0.0036450000000000002,True,2.896980516523234e-14,0.003352747726342341,
3,case2_stable,1,0.004920750000000001,True,1.9004976508292924e-14,0.004526880827069387,
3,case2_stable,1,0.006643012500000002,True,4.095467592536021e-14,0.006112513073236238,
3,case2_stable,1,0.008968066875000003,True,3.739520510835233e-14,0.008254124144242262,
3,case2_stable,1,0.012106890281250005,True,4.324008701227298e-14,0.011147136570549677,
3,case2_stable,1,0.01634430187968751,True,3.3208015655202185e-14,0.015056055259337764,
3,case2_stable,1,0.022064807537578137,True,7.170074442375238e-14,0.020339212165336178,
3,case2_stable,1,0.029787490175730486,True,7.257913207366292e-13,0.027482641438417086,
3,case2_stable,1,0.04021311173723616,True,4.8110689635462666e-12,0.03714667432460093,
3,case2_stable,1,0.054287700845268815,True,3.458519016599519e-11,0.05023043517563705,
3,case2_stable,1,0.0732883961411129,True,1.7866697305473188e-14,0.0679618664110064,
3,case2_stable,1,0.09893933479050243,True,2.4794620938034978e-14,0.09202479935914676,
3,case2_stable,1,0.1335681019671783,True,3.3576378278000215e-14,0.12474407586079606,
