family,amplitude,geom_amplitude,T,jacobi_CJ,closure,nu,abs_nu_plus2,nontriv1_re,nontriv1_im,nontriv1_abs,classification,mult1_re,mult1_im,mult2_re,mult2_im,mult3_re,mult3_im,mult4_re,mult4_im
fam8_case1_res_3to2,0.011,0.010839022908097948,11.131075927867236,15.252354215584027,7.223230211228819e-14,-1.9977889288244217,0.002211071175578283,-0.9988944644121516,-0.04700903069243311,0.9999999999999406,spectrally stable (near transition),-0.9988944644121516,0.04700903069243311,-0.9988944644121516,-0.04700903069243311,0.9999999956667581,0.0,1.0000000043333346,0.0
fam8_case1_res_3to2,0.012,0.011827415605165944,11.13108332108578,15.252355117197308,9.736575214108933e-14,-1.9977877919734262,0.0022122080265738475,-0.9988938959866822,-0.04702110760589784,0.999999999999969,spectrally stable (near transition),-0.9988938959866822,0.04702110760589784,-0.9988938959866822,-0.04702110760589784,0.9999999913639469,0.0,1.000000008636045,0.0
fam8_case1_res_3to2,0.013000000000000001,0.012816314156579614,11.131091360198125,15.25235609758238,1.0286560228778656e-13,-1.9977865554725311,0.0022134445274688552,-0.9988932777361571,-0.04703423958457565,0.9999999999998913,spectrally stable (near transition),-0.9988932777361571,0.04703423958457565,-0.9988932777361571,-0.04703423958457565,1.0000000060136887,0.0,0.999999993986246,0.0
fam8_case1_res_3to2,0.014000000000000002,0.013805718876942867,11.131100045698748,15.25235715679918,4.326504744358891e-14,-1.9977852191632253,0.0022147808367747324,-0.9988926095815778,-0.04704842742574507,0.9999999999999649,spectrally stable (near transition),-0.9988926095815778,0.04704842742574507,-0.9988926095815778,-0.04704842742574507,0.9999999834743125,0.0,1.0000000165257095,0.0
fam8_case1_res_3to2,0.015,0.014795630080914024,11.13110937805821,15.252358294907786,8.130597634920175e-14,-1.9977837828822762,0.0022162171177237955,-0.9988918914410031,-0.04706367190461272,0.9999999999998649,spectrally stable (near transition),-0.9988918914410031,0.04706367190461272,-0.9988918914410031,-0.04706367190461272,0.999999982445923,0.0,1.0000000175541617,0.0
fam8_case1_res_3to2,0.016,0.015786048083546514,11.131119357774422,15.25235951196841,1.9252302523513333e-14,-1.9977822464573722,0.002217753542627765,-0.9988911232286926,-0.04707997382044559,1.0000000000000064,spectrally stable (near transition),-0.9988911232286926,0.04707997382044559,-0.9988911232286926,-0.04707997382044559,1.000000025475503,0.0,0.9999999745245974,0.0
fam8_case1_res_3to2,0.017,0.016776973200338923,11.131129985301035,15.252360808041402,3.7682918908928553e-14,-1.9977806097128545,0.002219390287145462,-0.9988903048564071,-0.04709733393551811,0.9999999999999798,spectrally stable (near transition),-0.9988903048564071,0.04709733393551811,-0.9988903048564071,-0.04709733393551811,0.9999999999999767,1.9734387942652724e-08,0.9999999999999767,-1.9734387942652724e-08
fam8_case1_res_3to2,0.018000000000000002,0.017768405746773533,11.131141261173232,15.252362183187248,4.9282854961729785e-14,-1.9977788724596943,0.0022211275403056785,-0.9988894362297793,-0.047115753081297215,0.999999999999932,spectrally stable (near transition),-0.9988894362297793,0.047115753081297215,-0.9988894362297793,-0.047115753081297215,0.9999999999999454,8.47758093035994e-09,0.9999999999999454,-8.47758093035994e-09
fam8_case1_res_3to2,0.019000000000000003,0.018760346038948026,11.13115318585345,15.252363637466567,1.4966647033626107e-14,-1.9977770345078525,0.0022229654921475106,-0.9988885172538504,-0.04713523202714054,0.9999999999999241,spectrally stable (near transition),-0.9988885172538504,0.04713523202714054,-0.9988885172538504,-0.04713523202714054,1.0000000193481653,0.0,0.9999999806517167,0.0
fam8_case1_res_3to2,0.02,0.019752794393165973,11.131165759826002,15.252365170940115,1.1830538815050297e-13,-1.9977750956585973,0.002224904341402656,-0.9988875478293615,-0.04715577156160975,1.0000000000000628,spectrally stable (near transition),-0.9988875478293615,0.04715577156160975,-0.9988875478293615,-0.04715577156160975,1.0000000276395022,0.0,0.999999972360492,0.0
fam10_case2_res_2to1,0.15,0.15017171627739279,16.944441224341272,20.357698819786624,5.2318611537671495e-12,-1.9753901657750805,0.02460983422491947,-0.9876950828874309,-0.15639188994244363,0.9999999999998892,spectrally stable,-0.9876950828874309,0.15639188994244363,-0.9876950828874309,-0.15639188994244363,0.9999984764873354,0.0,1.000001523514946,0.0
fam10_case2_res_2to1,0.154,0.15419019995113387,16.947554051160406,20.357736645833455,5.823897911453945e-14,-1.9764444225982238,0.023555577401776162,-0.9882222112989256,-0.15302568769681926,0.9999999999998114,spectrally stable,-0.9882222112989256,0.15302568769681926,-0.9882222112989256,-0.15302568769681926,1.0000000000000933,9.11488912846228e-08,1.0000000000000933,-9.11488912846228e-08
fam10_case2_res_2to1,0.158,0.15820993195647218,16.95075262706427,20.35777546482013,7.639423665371298e-14,-1.9775039224601432,0.02249607753985683,-0.9887519612300073,-0.14956456520073225,0.9999999999999349,spectrally stable,-0.9887519612300073,0.14956456520073225,-0.9887519612300073,-0.14956456520073225,0.9999998516135182,0.0,1.0000001483867185,0.0
fam10_case2_res_2to1,0.162,0.16223096527278683,16.95403726639455,20.35781527667689,3.809123899939463e-14,-1.9785668038001352,0.021433196199864835,-0.9892834018999507,-0.14600805020622812,0.9999999999998819,spectrally stable,-0.9892834018999507,0.14600805020622812,-0.9892834018999507,-0.14600805020622812,0.9999998531420162,0.0,1.0000001468579571,0.0
fam10_case2_res_2to1,0.166,0.16625335414915607,16.95740829367785,20.35785608134634,8.42756304413127e-14,-1.979631143094072,0.020368856905927935,-0.9898155715469052,-0.14235566136620373,0.999999999999868,spectrally stable,-0.9898155715469052,0.14235566136620373,-0.9898155715469052,-0.14235566136620373,0.9999998606394681,0.0,1.0000001393604516,0.0
fam10_case2_res_2to1,0.17,0.17027715410173294,16.960866043625042,20.357897878784158,1.6993981315527725e-14,-1.9806949536645209,0.019305046335479137,-0.9903474768320921,-0.1386069086733012,0.99999999999983,spectrally stable,-0.9903474768320921,0.1386069086733012,-0.9903474768320921,-0.1386069086733012,0.9999999999999636,1.3499768386496518e-07,0.9999999999999636,-1.3499768386496518e-07
fam10_case2_res_2to1,0.17400000000000002,0.17430242191253215,16.964410861286314,20.35794066895988,3.996319730676859e-14,-1.9817561844979716,0.01824381550202836,-0.9908780922488523,-0.13476129377905735,0.9999999999998651,spectrally stable,-0.9908780922488523,0.13476129377905735,-0.9908780922488523,-0.13476129377905735,0.9999999794884595,0.0,1.000000020511644,0.0
fam10_case2_res_2to1,0.17800000000000002,0.17832977563346664,16.968043102181966,20.357984451857643,7.458003112774384e-14,-1.9828127190180278,0.017187280981972197,-0.991406359508944,-0.1308183103586085,0.9999999999999293,spectrally stable,-0.991406359508944,0.1308183103586085,-0.991406359508944,-0.1308183103586085,1.0000000000000122,2.352111364761123e-07,1.0000000000000122,-2.352111364761123e-07
fam10_case2_res_2to1,0.18200000000000002,0.1823589408154318,16.971763132477097,20.35802922747688,5.4604676810713204e-14,-1.9838623738326646,0.016137626167335384,-0.991931186916187,-0.126777444455832,0.9999999999998535,spectrally stable,-0.991931186916187,0.126777444455832,-0.991931186916187,-0.126777444455832,0.9999998354878826,0.0,1.0000001645121868,0.0
fam10_case2_res_2to1,0.18600000000000003,0.18638977981888993,16.97557132910186,20.358074995833103,1.2450565072357077e-13,-1.9849028974306362,0.015097102569363807,-0.9924514487152463,-0.12263817490024907,0.9999999999999275,spectrally stable,-0.9924514487152463,0.12263817490024907,-0.9924514487152463,-0.12263817490024907,1.0000000000001728,2.0143008162081467e-07,1.0000000000001728,-2.0143008162081467e-07
fam10_case2_res_2to1,0.19000000000000003,0.19042235411517885,16.979468079955208,20.358121756958607,3.6540644899751826e-14,-1.9859319688595058,0.014068031140494153,-0.9929659844296221,-0.11839997367165303,0.9999999999998683,spectrally stable,-0.9929659844296221,0.11839997367165303,-0.9929659844296221,-0.11839997367165303,0.9999998139914992,0.0,1.000000186008682,0.0
fam10_case2_res_2to1,0.19400000000000003,0.19445672644177955,16.983453784020412,20.358169510903192,9.753743220231372e-14,-1.9869471963452154,0.013052803654784562,-0.9934735981723581,-0.114062306367904,0.9999999999997489,spectrally stable,-0.9934735981723581,0.114062306367904,-0.9934735981723581,-0.114062306367904,0.999999999999825,2.410636560532922e-07,0.999999999999825,-2.410636560532922e-07
fam10_case2_res_2to1,0.19800000000000004,0.1984929608023612,16.987528851582283,20.358218257734883,7.757026597905429e-14,-1.9879461158950231,0.012053884104976875,-0.9939730579474292,-0.10962463260814505,0.9999999999999171,spectrally stable,-0.9939730579474292,0.10962463260814505,-0.9939730579474292,-0.10962463260814505,0.9999996750064588,0.0,1.0000003249939726,0.0
fam10_case2_res_2to1,0.20200000000000004,0.20253112246768082,16.991693704341532,20.358267997540665,2.92933316882896e-14,-1.9889261898402308,0.01107381015976916,-0.9944630949198622,-0.10508640655146506,0.9999999999997453,spectrally stable,-0.9944630949198622,0.10508640655146506,-0.9944630949198622,-0.10508640655146506,0.9999999116650315,0.0,1.0000000883347062,0.0
fam10_case2_res_2to1,0.20600000000000004,0.20657127797689936,16.99594877565211,20.35831873042717,5.286043856781221e-14,-1.9898848053641967,0.010115194635803348,-0.9949424026819051,-0.1004470773351291,0.9999999999998058,spectrally stable,-0.9949424026819051,0.1004470773351291,-0.9949424026819051,-0.1004470773351291,0.9999998203326961,0.0,1.0000001796669995,0.0
fam10_case2_res_2to1,0.21000000000000005,0.21061349513874408,17.000294510657383,20.3583704565214,7.79107245608288e-14,-1.9908192729707357,0.009180727029264313,-0.9954096364852043,-0.09570608962895163,0.9999999999998357,spectrally stable (near transition),-0.9954096364852043,0.09570608962895163,-0.9954096364852043,-0.09570608962895163,0.9999997407026204,0.0,1.000000259297331,0.0
fam10_case2_res_2to1,0.21400000000000005,0.21465784303342667,17.00473136649123,20.35842317597145,4.0118643192660553e-14,-1.9917268249253075,0.008273175074692496,-0.9958634124624556,-0.0908628841619898,0.999999999999801,spectrally stable (near transition),-0.9958634124624556,0.0908628841619898,-0.9958634124624556,-0.0908628841619898,0.999999999999944,2.1731376710282203e-07,0.999999999999944,-2.1731376710282203e-07
fam10_case2_res_2to1,0.21800000000000005,0.2187043920149138,17.009259812486107,20.35847688894716,3.311016075221719e-14,-1.992604613656535,0.007395386343465038,-0.9963023068281012,-0.08591689827193706,0.999999999999833,spectrally stable (near transition),-0.9963023068281012,0.08591689827193706,-0.9963023068281012,-0.08591689827193706,0.999999856468484,0.0,1.000000143531254,0.0
fam10_case2_res_2to1,0.22200000000000006,0.22275321371345466,17.013880330336942,20.358531595640876,7.182612455224813e-14,-1.9934497101097453,0.006550289890254746,-0.9967248550547203,-0.08086756652602617,0.9999999999998472,spectrally stable (near transition),-0.9967248550547203,0.08086756652602617,-0.9967248550547203,-0.08086756652602617,0.9999999999999646,1.7933450662975954e-07,0.9999999999999646,-1.7933450662975954e-07
fam10_case2_res_2to1,0.22600000000000006,0.2268043810387509,17.01859341433417,20.358587296268112,1.4266406787623885e-14,-1.9942591020712832,0.005740897928716793,-0.9971295510354388,-0.07571432131015518,0.9999999999997965,spectrally stable (near transition),-0.9971295510354388,0.07571432131015518,-0.9971295510354388,-0.07571432131015518,1.0000000000000635,1.41294405419739e-07,1.0000000000000635,-1.41294405419739e-07
fam10_case2_res_2to1,0.23000000000000007,0.23085796818351156,17.0233995715565,20.358643991068252,3.058106544204598e-14,-1.9950296924450264,0.00497030755497363,-0.9975148462223382,-0.07045659348616151,0.9999999999998246,spectrally stable (near transition),-0.9975148462223382,0.07045659348616151,-0.9975148462223382,-0.07045659348616151,0.9999997651929408,0.0,1.000000234807065,0.0
fam10_case2_res_2to1,0.23400000000000007,0.23491405062720036,17.028299322086458,20.35870168030524,1.0414043025662598e-13,-1.9957582974910055,0.0042417025089944715,-0.997879148745376,-0.06509381306199298,0.9999999999998729,spectrally stable (near transition),-0.997879148745376,0.06509381306199298,-0.997879148745376,-0.06509381306199298,0.9999997576087524,0.0,1.0000002423912584,0.0
fam10_case2_res_2to1,0.23800000000000007,0.23897270514108238,17.033293199236628,20.358760364268303,4.380837697844044e-14,-1.9964416450240654,0.0035583549759345967,-0.9982208225117823,-0.05962540988034436,0.9999999999997491,spectrally stable (near transition),-0.9982208225117823,0.05962540988034436,-0.9982208225117823,-0.05962540988034436,0.9999997986233544,0.0,1.0000002013768512,0.0
fam10_case2_res_2to1,0.24200000000000008,0.24303400979252443,17.03838174977715,20.35882004327259,4.2609421900650414e-14,-1.99707637257036,0.00292362742964003,-0.998538186284991,-0.054050814335235293,0.9999999999998107,spectrally stable (near transition),-0.998538186284991,0.054050814335235293,-0.998538186284991,-0.054050814335235293,0.9999997510809159,0.0,1.0000002489191193,0.0
fam10_case2_res_2to1,0.24600000000000008,0.24709804395134502,17.043565534161836,20.358880717659904,1.7806178273150092e-14,-1.9976590254823359,0.0023409745176641295,-0.998829512741082,-0.04836945810365073,0.9999999999999141,spectrally stable (near transition),-0.998829512741082,0.04836945810365073,-0.998829512741082,-0.04836945810365073,0.9999998895909497,0.0,1.0000001104091891,0.0
